n_obs,signed_area,xcorr_optimal_lag,xcorr_max_corr,granger_best_lag,granger_best_pval,event_type,event_date,equity_ticker,pm_slug
2342,0.04567146992547677,17,0.07340857964269784,1.0,0.537212,GDP,2025-04-30 12:30:00+00:00,QQQ,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
2342,0.04567146992547677,17,0.07340857964269784,1.0,0.537212,GDP,2025-04-30 12:30:00+00:00,QQQ,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
2342,0.04567146992547677,17,0.07340857964269784,1.0,0.537212,GDP,2025-04-30 12:30:00+00:00,QQQ,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
2342,0.04567146992547677,17,0.07340857964269784,1.0,0.537212,GDP,2025-04-30 12:30:00+00:00,QQQ,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
1862,0.0531722245223116,17,0.07380796580422841,1.0,0.577192,GDP,2025-05-01 16:00:00+00:00,QQQ,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
1897,0.008913503382134265,16,-0.0641456461440002,1.0,0.725428,GDP,2025-03-03 19:00:00+00:00,TLT,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
3084,0.01905759395949215,17,0.05179896691776236,2.0,0.519888,GDP,2025-03-06 19:00:00+00:00,TLT,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
3451,0.10402621879478291,-49,-0.0027438438681012495,1.0,0.980119,GDP,2025-03-17 17:00:00+00:00,TLT,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
3926,0.18357059614022753,40,-0.0031178665608209985,1.0,0.982362,GDP,2025-03-18 16:30:00+00:00,TLT,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4518,0.20103261733509892,-41,-0.09562462821938296,1.0,0.947145,GDP,2025-03-26 14:30:00+00:00,TLT,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4265,0.11024961280972967,-41,-0.09973679752528129,1.0,0.955199,GDP,2025-03-27 12:30:00+00:00,TLT,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4265,0.11024961280972967,-41,-0.09973679752528129,1.0,0.955199,GDP,2025-03-27 12:30:00+00:00,TLT,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4265,0.11024961280972967,-41,-0.09973679752528129,1.0,0.955199,GDP,2025-03-27 12:30:00+00:00,TLT,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4265,0.11024961280972967,-41,-0.09973679752528129,1.0,0.955199,GDP,2025-03-27 12:30:00+00:00,TLT,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4241,0.09954241417637591,51,-0.006916955485979789,1.0,0.724812,GDP,2025-04-01 17:00:00+00:00,TLT,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4148,0.04320645434749499,51,-0.007543012813928916,1.0,0.772027,GDP,2025-04-03 16:30:00+00:00,TLT,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
3674,-0.05083422411605043,-45,-0.23193851010195157,1.0,0.983012,GDP,2025-04-16 17:00:00+00:00,TLT,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
3284,-0.05134105507721712,-45,-0.23251340562552641,1.0,0.983554,GDP,2025-04-17 14:30:00+00:00,TLT,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4037,-0.09207455491330915,-46,0.0790156924152585,1.0,0.847119,GDP,2025-04-24 17:00:00+00:00,TLT,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
2178,0.1657289708102633,6,0.0276503486518406,10.0,0.011855,GDP,2025-04-29 14:30:00+00:00,TLT,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
2178,0.1657289708102633,6,0.0276503486518406,10.0,0.011855,GDP,2025-04-30 12:30:00+00:00,TLT,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
2178,0.1657289708102633,6,0.0276503486518406,10.0,0.011855,GDP,2025-04-30 12:30:00+00:00,TLT,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
2178,0.1657289708102633,6,0.0276503486518406,10.0,0.011855,GDP,2025-04-30 12:30:00+00:00,TLT,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
2178,0.1657289708102633,6,0.0276503486518406,10.0,0.011855,GDP,2025-04-30 12:30:00+00:00,TLT,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
